Location,Date,StartTime,Ped,Bike,Other
EB Southeast (Sidewalk),1/24/2022,08:00 AM,62,3,3
EB Southeast (Sidewalk),1/24/2022,09:00 AM,54,2,0
EB Southeast (Sidewalk),1/24/2022,10:00 AM,31,2,0
EB Southeast (Sidewalk),1/24/2022,11:00 AM,11,1,1
EB Southeast (Sidewalk),1/24/2022,12:00 PM,31,1,1
EB Southeast (Sidewalk),1/24/2022,08:15 AM,28,2,0
EB Southeast (Sidewalk),1/24/2022,09:15 AM,49,1,0
EB Southeast (Sidewalk),1/24/2022,10:15 AM,10,0,0
EB Southeast (Sidewalk),1/24/2022,11:15 AM,8,0,0
EB Southeast (Sidewalk),1/24/2022,12:15 PM,27,3,0
EB Southeast (Sidewalk),1/24/2022,07:30 AM,35,0,1
EB Southeast (Sidewalk),1/24/2022,08:30 AM,73,1,1
EB Southeast (Sidewalk),1/24/2022,09:30 AM,41,2,0
EB Southeast (Sidewalk),1/24/2022,10:30 AM,41,3,0
EB Southeast (Sidewalk),1/24/2022,11:30 AM,32,3,1
EB Southeast (Sidewalk),1/24/2022,07:45 AM,63,8,2
EB Southeast (Sidewalk),1/24/2022,08:45 AM,91,10,2
EB Southeast (Sidewalk),1/24/2022,09:45 AM,85,5,1
EB Southeast (Sidewalk),1/24/2022,10:45 AM,55,6,0
EB Southeast (Sidewalk),1/24/2022,11:45 AM,31,2,0
EB Southeast (Sidewalk),1/25/2022,08:00 AM,36,1,1
EB Southeast (Sidewalk),1/25/2022,09:00 AM,39,0,0
EB Southeast (Sidewalk),1/25/2022,10:00 AM,24,2,0
EB Southeast (Sidewalk),1/25/2022,11:00 AM,12,0,0
EB Southeast (Sidewalk),1/25/2022,12:00 PM,35,0,2
EB Southeast (Sidewalk),1/25/2022,08:15 AM,15,2,1
EB Southeast (Sidewalk),1/25/2022,09:15 AM,76,7,1
EB Southeast (Sidewalk),1/25/2022,10:15 AM,11,0,0
EB Southeast (Sidewalk),1/25/2022,11:15 AM,14,1,0
EB Southeast (Sidewalk),1/25/2022,12:15 PM,52,3,2
EB Southeast (Sidewalk),1/25/2022,07:30 AM,45,3,0
EB Southeast (Sidewalk),1/25/2022,08:30 AM,51,0,0
EB Southeast (Sidewalk),1/25/2022,09:30 AM,34,2,0
EB Southeast (Sidewalk),1/25/2022,10:30 AM,11,0,0
EB Southeast (Sidewalk),1/25/2022,11:30 AM,26,0,2
EB Southeast (Sidewalk),1/25/2022,07:45 AM,80,6,1
EB Southeast (Sidewalk),1/25/2022,08:45 AM,62,5,1
EB Southeast (Sidewalk),1/25/2022,09:45 AM,44,5,0
EB Southeast (Sidewalk),1/25/2022,10:45 AM,12,1,0
EB Southeast (Sidewalk),1/25/2022,11:45 AM,54,1,1
EB Southeast (Sidewalk),1/26/2022,08:00 AM,35,2,0
EB Southeast (Sidewalk),1/26/2022,09:00 AM,44,3,0
EB Southeast (Sidewalk),1/26/2022,10:00 AM,27,1,0
EB Southeast (Sidewalk),1/26/2022,11:00 AM,13,3,2
EB Southeast (Sidewalk),1/26/2022,12:00 PM,21,2,3
EB Southeast (Sidewalk),1/26/2022,08:15 AM,15,1,0
EB Southeast (Sidewalk),1/26/2022,09:15 AM,61,2,0
EB Southeast (Sidewalk),1/26/2022,10:15 AM,15,3,1
EB Southeast (Sidewalk),1/26/2022,11:15 AM,14,0,0
EB Southeast (Sidewalk),1/26/2022,12:15 PM,18,2,0
EB Southeast (Sidewalk),1/26/2022,07:30 AM,48,0,0
EB Southeast (Sidewalk),1/26/2022,08:30 AM,86,1,2
EB Southeast (Sidewalk),1/26/2022,09:30 AM,52,5,0
EB Southeast (Sidewalk),1/26/2022,10:30 AM,38,2,1
EB Southeast (Sidewalk),1/26/2022,11:30 AM,32,1,0
EB Southeast (Sidewalk),1/26/2022,07:45 AM,73,3,1
EB Southeast (Sidewalk),1/26/2022,08:45 AM,97,5,4
EB Southeast (Sidewalk),1/26/2022,09:45 AM,59,5,1
EB Southeast (Sidewalk),1/26/2022,10:45 AM,61,0,2
EB Southeast (Sidewalk),1/26/2022,11:45 AM,34,2,0
EB Southeast (Sidewalk),1/27/2022,08:00 AM,37,3,2
EB Southeast (Sidewalk),1/27/2022,09:00 AM,58,2,2
EB Southeast (Sidewalk),1/27/2022,10:00 AM,27,2,2
EB Southeast (Sidewalk),1/27/2022,11:00 AM,17,2,0
EB Southeast (Sidewalk),1/27/2022,12:00 PM,44,3,0
EB Southeast (Sidewalk),1/27/2022,08:15 AM,15,0,0
EB Southeast (Sidewalk),1/27/2022,09:15 AM,75,5,3
EB Southeast (Sidewalk),1/27/2022,10:15 AM,14,2,0
EB Southeast (Sidewalk),1/27/2022,11:15 AM,16,1,0
EB Southeast (Sidewalk),1/27/2022,12:15 PM,56,2,3
EB Southeast (Sidewalk),1/27/2022,07:30 AM,31,2,0
EB Southeast (Sidewalk),1/27/2022,08:30 AM,49,2,3
EB Southeast (Sidewalk),1/27/2022,09:30 AM,53,3,0
EB Southeast (Sidewalk),1/27/2022,10:30 AM,23,0,0
EB Southeast (Sidewalk),1/27/2022,11:30 AM,20,0,2
EB Southeast (Sidewalk),1/27/2022,07:45 AM,86,6,1
EB Southeast (Sidewalk),1/27/2022,08:45 AM,57,4,1
EB Southeast (Sidewalk),1/27/2022,09:45 AM,42,0,0
EB Southeast (Sidewalk),1/27/2022,10:45 AM,34,4,0
EB Southeast (Sidewalk),1/27/2022,11:45 AM,48,1,0
EB Southeast (Parking Lot),1/24/2022,08:00 AM,22,0,2
EB Southeast (Parking Lot),1/24/2022,09:00 AM,35,1,0
EB Southeast (Parking Lot),1/24/2022,10:00 AM,20,0,1
EB Southeast (Parking Lot),1/24/2022,11:00 AM,14,0,1
EB Southeast (Parking Lot),1/24/2022,12:00 PM,27,0,0
EB Southeast (Parking Lot),1/24/2022,08:15 AM,17,0,0
EB Southeast (Parking Lot),1/24/2022,09:15 AM,99,1,0
EB Southeast (Parking Lot),1/24/2022,10:15 AM,11,0,1
EB Southeast (Parking Lot),1/24/2022,11:15 AM,15,0,0
EB Southeast (Parking Lot),1/24/2022,12:15 PM,44,0,0
EB Southeast (Parking Lot),1/24/2022,07:30 AM,30,0,4
EB Southeast (Parking Lot),1/24/2022,08:30 AM,39,0,0
EB Southeast (Parking Lot),1/24/2022,09:30 AM,37,1,0
EB Southeast (Parking Lot),1/24/2022,10:30 AM,44,1,0
EB Southeast (Parking Lot),1/24/2022,11:30 AM,19,0,0
EB Southeast (Parking Lot),1/24/2022,07:45 AM,177,1,3
EB Southeast (Parking Lot),1/24/2022,08:45 AM,201,1,2
EB Southeast (Parking Lot),1/24/2022,09:45 AM,176,0,0
EB Southeast (Parking Lot),1/24/2022,10:45 AM,93,1,1
EB Southeast (Parking Lot),1/24/2022,11:45 AM,84,1,0
EB Southeast (Parking Lot),1/25/2022,08:00 AM,37,0,0
EB Southeast (Parking Lot),1/25/2022,09:00 AM,55,0,0
EB Southeast (Parking Lot),1/25/2022,10:00 AM,24,0,0
EB Southeast (Parking Lot),1/25/2022,11:00 AM,14,0,0
EB Southeast (Parking Lot),1/25/2022,12:00 PM,49,0,0
EB Southeast (Parking Lot),1/25/2022,08:15 AM,17,0,0
EB Southeast (Parking Lot),1/25/2022,09:15 AM,203,0,1
EB Southeast (Parking Lot),1/25/2022,10:15 AM,16,1,0
EB Southeast (Parking Lot),1/25/2022,11:15 AM,20,0,0
EB Southeast (Parking Lot),1/25/2022,12:15 PM,116,0,1
EB Southeast (Parking Lot),1/25/2022,07:30 AM,32,0,0
EB Southeast (Parking Lot),1/25/2022,08:30 AM,22,0,0
EB Southeast (Parking Lot),1/25/2022,09:30 AM,38,0,0
EB Southeast (Parking Lot),1/25/2022,10:30 AM,15,0,0
EB Southeast (Parking Lot),1/25/2022,11:30 AM,26,0,0
EB Southeast (Parking Lot),1/25/2022,07:45 AM,161,0,0
EB Southeast (Parking Lot),1/25/2022,08:45 AM,135,0,0
EB Southeast (Parking Lot),1/25/2022,09:45 AM,63,1,0
EB Southeast (Parking Lot),1/25/2022,10:45 AM,28,0,0
EB Southeast (Parking Lot),1/25/2022,11:45 AM,80,0,0
EB Southeast (Parking Lot),1/26/2022,08:00 AM,41,0,1
EB Southeast (Parking Lot),1/26/2022,09:00 AM,59,0,0
EB Southeast (Parking Lot),1/26/2022,10:00 AM,20,1,0
EB Southeast (Parking Lot),1/26/2022,11:00 AM,8,0,0
EB Southeast (Parking Lot),1/26/2022,12:00 PM,36,0,1
EB Southeast (Parking Lot),1/26/2022,08:15 AM,11,0,0
EB Southeast (Parking Lot),1/26/2022,09:15 AM,84,0,0
EB Southeast (Parking Lot),1/26/2022,10:15 AM,11,0,0
EB Southeast (Parking Lot),1/26/2022,11:15 AM,10,0,0
EB Southeast (Parking Lot),1/26/2022,12:15 PM,49,0,0
EB Southeast (Parking Lot),1/26/2022,07:30 AM,29,0,0
EB Southeast (Parking Lot),1/26/2022,08:30 AM,41,0,0
EB Southeast (Parking Lot),1/26/2022,09:30 AM,32,0,0
EB Southeast (Parking Lot),1/26/2022,10:30 AM,38,1,0
EB Southeast (Parking Lot),1/26/2022,11:30 AM,29,0,0
EB Southeast (Parking Lot),1/26/2022,07:45 AM,160,1,0
EB Southeast (Parking Lot),1/26/2022,08:45 AM,227,0,2
EB Southeast (Parking Lot),1/26/2022,09:45 AM,175,0,0
EB Southeast (Parking Lot),1/26/2022,10:45 AM,123,1,1
EB Southeast (Parking Lot),1/26/2022,11:45 AM,67,0,0
EB Southeast (Parking Lot),1/27/2022,08:00 AM,34,0,0
EB Southeast (Parking Lot),1/27/2022,09:00 AM,69,0,0
EB Southeast (Parking Lot),1/27/2022,10:00 AM,14,0,0
EB Southeast (Parking Lot),1/27/2022,11:00 AM,15,0,0
EB Southeast (Parking Lot),1/27/2022,12:00 PM,34,0,0
EB Southeast (Parking Lot),1/27/2022,08:15 AM,14,0,0
EB Southeast (Parking Lot),1/27/2022,09:15 AM,189,0,0
EB Southeast (Parking Lot),1/27/2022,10:15 AM,16,0,0
EB Southeast (Parking Lot),1/27/2022,11:15 AM,6,0,0
EB Southeast (Parking Lot),1/27/2022,12:15 PM,71,0,0
EB Southeast (Parking Lot),1/27/2022,07:30 AM,39,0,0
EB Southeast (Parking Lot),1/27/2022,08:30 AM,32,0,0
EB Southeast (Parking Lot),1/27/2022,09:30 AM,61,0,0
EB Southeast (Parking Lot),1/27/2022,10:30 AM,17,0,0
EB Southeast (Parking Lot),1/27/2022,11:30 AM,15,0,0
EB Southeast (Parking Lot),1/27/2022,07:45 AM,155,1,0
EB Southeast (Parking Lot),1/27/2022,08:45 AM,136,0,0
EB Southeast (Parking Lot),1/27/2022,09:45 AM,64,0,1
EB Southeast (Parking Lot),1/27/2022,10:45 AM,64,0,0
EB Southeast (Parking Lot),1/27/2022,11:45 AM,30,1,0
MSR Hill Southwest (To RB),1/24/2022,08:00 AM,11,0,0
MSR Hill Southwest (To RB),1/24/2022,09:00 AM,17,0,0
MSR Hill Southwest (To RB),1/24/2022,10:00 AM,3,0,0
MSR Hill Southwest (To RB),1/24/2022,11:00 AM,15,0,2
MSR Hill Southwest (To RB),1/24/2022,12:00 PM,18,1,2
MSR Hill Southwest (To RB),1/24/2022,08:15 AM,3,0,0
MSR Hill Southwest (To RB),1/24/2022,09:15 AM,17,0,0
MSR Hill Southwest (To RB),1/24/2022,10:15 AM,8,0,0
MSR Hill Southwest (To RB),1/24/2022,11:15 AM,4,0,0
MSR Hill Southwest (To RB),1/24/2022,12:15 PM,7,1,3
MSR Hill Southwest (To RB),1/24/2022,07:30 AM,11,1,0
MSR Hill Southwest (To RB),1/24/2022,08:30 AM,10,0,0
MSR Hill Southwest (To RB),1/24/2022,09:30 AM,8,1,0
MSR Hill Southwest (To RB),1/24/2022,10:30 AM,11,0,0
MSR Hill Southwest (To RB),1/24/2022,11:30 AM,4,0,0
MSR Hill Southwest (To RB),1/24/2022,07:45 AM,49,1,1
MSR Hill Southwest (To RB),1/24/2022,08:45 AM,28,1,0
MSR Hill Southwest (To RB),1/24/2022,09:45 AM,28,3,0
MSR Hill Southwest (To RB),1/24/2022,10:45 AM,26,1,0
MSR Hill Southwest (To RB),1/24/2022,11:45 AM,22,0,1
MSR Hill Southwest (To RB),1/25/2022,08:00 AM,11,0,0
MSR Hill Southwest (To RB),1/25/2022,09:00 AM,36,2,1
MSR Hill Southwest (To RB),1/25/2022,10:00 AM,4,0,0
MSR Hill Southwest (To RB),1/25/2022,11:00 AM,9,0,0
MSR Hill Southwest (To RB),1/25/2022,12:00 PM,15,0,1
MSR Hill Southwest (To RB),1/25/2022,08:15 AM,15,0,1
MSR Hill Southwest (To RB),1/25/2022,09:15 AM,43,2,1
MSR Hill Southwest (To RB),1/25/2022,10:15 AM,6,1,0
MSR Hill Southwest (To RB),1/25/2022,11:15 AM,8,0,1
MSR Hill Southwest (To RB),1/25/2022,12:15 PM,21,2,1
MSR Hill Southwest (To RB),1/25/2022,07:30 AM,14,0,0
MSR Hill Southwest (To RB),1/25/2022,08:30 AM,5,0,0
MSR Hill Southwest (To RB),1/25/2022,09:30 AM,5,0,1
MSR Hill Southwest (To RB),1/25/2022,10:30 AM,7,0,0
MSR Hill Southwest (To RB),1/25/2022,11:30 AM,6,0,0
MSR Hill Southwest (To RB),1/25/2022,07:45 AM,51,1,2
MSR Hill Southwest (To RB),1/25/2022,08:45 AM,31,1,1
MSR Hill Southwest (To RB),1/25/2022,09:45 AM,20,0,0
MSR Hill Southwest (To RB),1/25/2022,10:45 AM,21,0,0
MSR Hill Southwest (To RB),1/25/2022,11:45 AM,14,1,0
MSR Hill Southwest (To RB),1/26/2022,08:00 AM,11,0,0
MSR Hill Southwest (To RB),1/26/2022,09:00 AM,32,0,2
MSR Hill Southwest (To RB),1/26/2022,10:00 AM,8,0,0
MSR Hill Southwest (To RB),1/26/2022,11:00 AM,13,0,0
MSR Hill Southwest (To RB),1/26/2022,12:00 PM,16,0,1
MSR Hill Southwest (To RB),1/26/2022,08:15 AM,6,0,0
MSR Hill Southwest (To RB),1/26/2022,09:15 AM,7,3,2
MSR Hill Southwest (To RB),1/26/2022,10:15 AM,4,0,0
MSR Hill Southwest (To RB),1/26/2022,11:15 AM,2,0,0
MSR Hill Southwest (To RB),1/26/2022,12:15 PM,9,0,1
MSR Hill Southwest (To RB),1/26/2022,07:30 AM,7,0,0
MSR Hill Southwest (To RB),1/26/2022,08:30 AM,11,1,3
MSR Hill Southwest (To RB),1/26/2022,09:30 AM,19,0,0
MSR Hill Southwest (To RB),1/26/2022,10:30 AM,3,0,0
MSR Hill Southwest (To RB),1/26/2022,11:30 AM,3,0,0
MSR Hill Southwest (To RB),1/26/2022,07:45 AM,54,1,0
MSR Hill Southwest (To RB),1/26/2022,08:45 AM,38,2,4
MSR Hill Southwest (To RB),1/26/2022,09:45 AM,33,2,3
MSR Hill Southwest (To RB),1/26/2022,10:45 AM,35,0,4
MSR Hill Southwest (To RB),1/26/2022,11:45 AM,5,0,0
MSR Hill Southwest (To RB),1/27/2022,08:00 AM,11,0,0
MSR Hill Southwest (To RB),1/27/2022,09:00 AM,16,2,1
MSR Hill Southwest (To RB),1/27/2022,10:00 AM,7,1,0
MSR Hill Southwest (To RB),1/27/2022,11:00 AM,11,0,1
MSR Hill Southwest (To RB),1/27/2022,12:00 PM,11,1,1
MSR Hill Southwest (To RB),1/27/2022,08:15 AM,10,0,0
MSR Hill Southwest (To RB),1/27/2022,09:15 AM,35,0,1
MSR Hill Southwest (To RB),1/27/2022,10:15 AM,7,0,0
MSR Hill Southwest (To RB),1/27/2022,11:15 AM,6,0,0
MSR Hill Southwest (To RB),1/27/2022,12:15 PM,15,1,3
MSR Hill Southwest (To RB),1/27/2022,07:30 AM,10,0,0
MSR Hill Southwest (To RB),1/27/2022,08:30 AM,10,0,0
MSR Hill Southwest (To RB),1/27/2022,09:30 AM,6,0,1
MSR Hill Southwest (To RB),1/27/2022,10:30 AM,6,0,0
MSR Hill Southwest (To RB),1/27/2022,11:30 AM,10,1,0
MSR Hill Southwest (To RB),1/27/2022,07:45 AM,47,0,0
MSR Hill Southwest (To RB),1/27/2022,08:45 AM,43,0,1
MSR Hill Southwest (To RB),1/27/2022,09:45 AM,16,0,2
MSR Hill Southwest (To RB),1/27/2022,10:45 AM,20,0,1
MSR Hill Southwest (To RB),1/27/2022,11:45 AM,8,1,1
MSR Hill Southwest (Stairs),1/24/2022,08:00 AM,15,0,1
MSR Hill Southwest (Stairs),1/24/2022,09:00 AM,26,0,0
MSR Hill Southwest (Stairs),1/24/2022,10:00 AM,12,0,0
MSR Hill Southwest (Stairs),1/24/2022,11:00 AM,30,0,0
MSR Hill Southwest (Stairs),1/24/2022,12:00 PM,33,0,0
MSR Hill Southwest (Stairs),1/24/2022,08:15 AM,16,0,0
MSR Hill Southwest (Stairs),1/24/2022,09:15 AM,62,0,0
MSR Hill Southwest (Stairs),1/24/2022,10:15 AM,9,0,0
MSR Hill Southwest (Stairs),1/24/2022,11:15 AM,8,0,0
MSR Hill Southwest (Stairs),1/24/2022,12:15 PM,40,0,0
MSR Hill Southwest (Stairs),1/24/2022,07:30 AM,24,0,1
MSR Hill Southwest (Stairs),1/24/2022,08:30 AM,41,0,0
MSR Hill Southwest (Stairs),1/24/2022,09:30 AM,49,0,0
MSR Hill Southwest (Stairs),1/24/2022,10:30 AM,29,0,0
MSR Hill Southwest (Stairs),1/24/2022,11:30 AM,16,0,0
MSR Hill Southwest (Stairs),1/24/2022,07:45 AM,73,0,3
MSR Hill Southwest (Stairs),1/24/2022,08:45 AM,108,0,0
MSR Hill Southwest (Stairs),1/24/2022,09:45 AM,66,0,0
MSR Hill Southwest (Stairs),1/24/2022,10:45 AM,52,0,0
MSR Hill Southwest (Stairs),1/24/2022,11:45 AM,64,0,1
MSR Hill Southwest (Stairs),1/25/2022,08:00 AM,19,0,0
MSR Hill Southwest (Stairs),1/25/2022,09:00 AM,43,1,0
MSR Hill Southwest (Stairs),1/25/2022,10:00 AM,7,0,0
MSR Hill Southwest (Stairs),1/25/2022,11:00 AM,14,0,0
MSR Hill Southwest (Stairs),1/25/2022,12:00 PM,40,0,0
MSR Hill Southwest (Stairs),1/25/2022,08:15 AM,4,0,0
MSR Hill Southwest (Stairs),1/25/2022,09:15 AM,107,0,0
MSR Hill Southwest (Stairs),1/25/2022,10:15 AM,7,0,0
MSR Hill Southwest (Stairs),1/25/2022,11:15 AM,9,0,0
MSR Hill Southwest (Stairs),1/25/2022,12:15 PM,53,0,2
MSR Hill Southwest (Stairs),1/25/2022,07:30 AM,27,0,0
MSR Hill Southwest (Stairs),1/25/2022,08:30 AM,22,0,0
MSR Hill Southwest (Stairs),1/25/2022,09:30 AM,26,0,0
MSR Hill Southwest (Stairs),1/25/2022,10:30 AM,14,0,0
MSR Hill Southwest (Stairs),1/25/2022,11:30 AM,14,0,0
MSR Hill Southwest (Stairs),1/25/2022,07:45 AM,101,0,0
MSR Hill Southwest (Stairs),1/25/2022,08:45 AM,69,0,0
MSR Hill Southwest (Stairs),1/25/2022,09:45 AM,38,0,0
MSR Hill Southwest (Stairs),1/25/2022,10:45 AM,22,0,0
MSR Hill Southwest (Stairs),1/25/2022,11:45 AM,43,0,0
MSR Hill Southwest (Stairs),1/26/2022,08:00 AM,10,0,0
MSR Hill Southwest (Stairs),1/26/2022,09:00 AM,60,0,0
MSR Hill Southwest (Stairs),1/26/2022,10:00 AM,11,0,0
MSR Hill Southwest (Stairs),1/26/2022,11:00 AM,10,0,0
MSR Hill Southwest (Stairs),1/26/2022,12:00 PM,26,0,0
MSR Hill Southwest (Stairs),1/26/2022,08:15 AM,14,0,0
MSR Hill Southwest (Stairs),1/26/2022,09:15 AM,37,0,0
MSR Hill Southwest (Stairs),1/26/2022,10:15 AM,9,0,0
MSR Hill Southwest (Stairs),1/26/2022,11:15 AM,7,0,0
MSR Hill Southwest (Stairs),1/26/2022,12:15 PM,33,0,0
MSR Hill Southwest (Stairs),1/26/2022,07:30 AM,18,0,1
MSR Hill Southwest (Stairs),1/26/2022,08:30 AM,59,1,0
MSR Hill Southwest (Stairs),1/26/2022,09:30 AM,35,0,1
MSR Hill Southwest (Stairs),1/26/2022,10:30 AM,31,0,0
MSR Hill Southwest (Stairs),1/26/2022,11:30 AM,21,0,0
MSR Hill Southwest (Stairs),1/26/2022,07:45 AM,60,0,2
MSR Hill Southwest (Stairs),1/26/2022,08:45 AM,102,0,0
MSR Hill Southwest (Stairs),1/26/2022,09:45 AM,71,0,0
MSR Hill Southwest (Stairs),1/26/2022,10:45 AM,58,0,2
MSR Hill Southwest (Stairs),1/26/2022,11:45 AM,30,0,0
MSR Hill Southwest (Stairs),1/27/2022,08:00 AM,11,0,0
MSR Hill Southwest (Stairs),1/27/2022,09:00 AM,37,0,0
MSR Hill Southwest (Stairs),1/27/2022,10:00 AM,12,0,0
MSR Hill Southwest (Stairs),1/27/2022,11:00 AM,13,0,0
MSR Hill Southwest (Stairs),1/27/2022,12:00 PM,25,0,0
