IntId,RwisLocationIntId,ExtId,AgencyIdentifier,OutsideAgencyIdentifier,ControllerMakerId,Model,IsActive,SerialNumber,CommunicationTypeId,CommunicationNumber,PowerSourceId,Comments,Latitude,Longitude,XGeoCoordinate,YGeoCoordinate,MapLevel,DateCreated,LastUpdated,NumberOfPavementSensors,AtmosphericFile,SurfaceFile,DetailViewUrl
142,225,139,UTRCH,UTRCH,3,CSI,1,NULL,2,NULL,2,NULL,NULL,NULL,-112098600,38772500,5,20/12/2017 01:18:58 PM,20/12/2017 01:18:58 PM,NULL,787,788,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utrch
143,226,140,UTLAK,UTLAK,3,CSI,1,NULL,4,166.253.125.134,1,NULL,40.1768,-111.92455,-111924550,40176800,5,14/05/2018 11:53:45 AM,14/05/2018 11:53:45 AM,NULL,789,790,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utlak
144,227,142,UTDOL,UTDOL,3,CSI,1,NULL,4,166.253.125.137,1,NULL,40.722,-112.564,-112564000,40722000,5,22/05/2018 04:58:06 PM,22/05/2018 04:58:06 PM,NULL,793,794,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utdol
145,228,141,UTEDL,UTEDL,3,CSI,1,NULL,4,166.253.125.136,1,NULL,40.756,-112.75845,-112758450,40756000,5,22/05/2018 04:58:06 PM,22/05/2018 04:58:06 PM,NULL,791,792,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utedl
146,229,143,UTTIM,UTTIM,3,CSI,1,NULL,3,NULL,1,NULL,40.7335,-112.6018,-112601800,40733500,5,07/06/2018 03:49:36 PM,07/06/2018 03:49:36 PM,NULL,795,796,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttim
147,230,144,UTWDL,UTWDL,3,CSI,1,NULL,4,166.241.189.4,1,NULL,40.7729,-112.801,-112801000,40772900,5,07/06/2018 03:58:20 PM,07/06/2018 03:58:20 PM,NULL,797,798,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utwdl
148,231,145,UTMAN,UTMAN,3,CSI,1,NULL,2,10.237.5.156,2,NULL,41.498,-111.9532,-111953200,41498000,5,20/06/2018 02:16:26 PM,20/06/2018 02:16:26 PM,1,799,801,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utman
149,232,146,UTWEL,UTWEL,3,CSI,1,NULL,2,10.237.6.88,2,NULL,41.6562,-111.9028,-111902800,41656200,5,20/06/2018 02:16:26 PM,20/06/2018 02:16:26 PM,1,800,802,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utwel
150,233,147,UTCDC,UTCDC,3,CSI,1,NULL,2,10.132.5.64,2,NULL,37.655,-113.0829,-113082900,37655000,5,05/07/2018 11:46:55 AM,05/07/2018 11:46:55 AM,NULL,803,804,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utcdc
151,234,148,UTTP2,UTTP2,3,CSI,1,NULL,3,NULL,1,NULL,40.748,-114.009,-114009000,40748000,5,05/07/2018 12:40:21 PM,05/07/2018 12:40:21 PM,NULL,805,806,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttp2
152,235,149,UTFRW,UTFRW,3,CSI,1,NULL,2,10.235.10.216,2,NULL,41.3204,-112.0267,-112026700,41320400,5,06/07/2018 10:30:48 AM,24/07/2018 11:34:47 AM,1,807,808,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utfrw
153,236,150,UTECO,UTECO,3,CSI,1,NULL,4,NULL,1,NULL,NULL,NULL,-111374450,41010250,5,02/08/2018 05:12:33 PM,02/08/2018 05:12:33 PM,NULL,809,810,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uteco
154,237,151,UTNBC,UTNBC,3,CSI,1,NULL,4,166.154.68.113,1,NULL,41.58227,-112.07223,-112072230,41582270,5,23/08/2018 01:25:00 PM,23/08/2018 01:25:00 PM,1,811,812,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utnbc
155,238,152,UTPSB,UTPSB,3,CSI,1,NULL,4,166.154.68.95,1,NULL,39.4016,-110.8902,-110890200,39401600,5,03/10/2018 09:45:41 AM,03/10/2018 09:45:41 AM,NULL,813,814,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utpsb
156,239,153,UTSSU,UTSSU,3,CSI,1,NULL,4,NULL,1,NULL,NULL,NULL,-111493380,38783190,5,31/10/2018 11:16:13 AM,31/10/2018 11:16:13 AM,NULL,815,816,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utssu
157,240,154,UTTP4,UTTP4,3,CSI,1,NULL,4,166.154.68.104,1,NULL,40.1945,-110.9621,-110962100,40194500,5,03/06/2019 05:22:24 PM,03/06/2019 05:22:24 PM,NULL,817,NULL,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttp4
158,243,155,UTLAM,UTLAM,3,CSI,1,NULL,3,10.202.10.112,1,NULL,40.7397,-111.673,-111673000,40739700,5,17/06/2019 04:15:58 PM,17/06/2019 04:15:58 PM,1,818,819,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utlam
159,244,156,UTFMC,UTFMC,3,CSI,1,NULL,2,10.202.23.40,2,NULL,40.75757,-111.83607,-111836070,40757570,5,27/06/2019 05:36:09 PM,18/05/2020 08:22:36 AM,1,820,821,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utfmc
160,245,157,UTMRN,UTMRN,3,CSI,1,NULL,4,166.241.153.251,2,NULL,40.69837,-111.28088,-111280880,40698370,5,16/07/2019 05:24:11 PM,16/07/2019 05:24:11 PM,1,822,823,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utmrn
161,246,158,UTTP5,UTTP5,3,CSI,1,NULL,4,63.42.58.79,1,NULL,37.7157,-112.8473,-112847300,37715700,5,18/07/2019 04:26:43 PM,18/07/2019 04:26:43 PM,NULL,824,NULL,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttp5
162,247,159,UTTP6,UTTP6,3,CSI,1,NULL,4,166.148.71.205,1,NULL,39.8785,-111.5212,-111521200,39878500,5,07/08/2019 10:03:40 AM,08/08/2019 05:44:49 PM,NULL,825,NULL,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttp6
163,248,160,UT123,UT123,3,CSI,1,NULL,4,63.42.105.243,0,NULL,39.526,-110.5744,-110574400,39526000,5,14/08/2019 04:18:27 PM,15/08/2019 08:16:35 AM,NULL,826,827,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=UT123
164,249,161,UTLMP,UTLMP,3,CSI,1,NULL,4,166.148.71.204,1,NULL,39.5944,-111.9161,-111916100,39594400,5,19/08/2019 10:14:04 AM,19/08/2019 10:14:04 AM,1,828,829,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utlmp
165,250,162,UTRKY,UTRKY,3,CSI,1,NULL,4,166.161.187.10,1,NULL,39.9371,-111.8112,-111811200,39937100,5,20/08/2019 12:51:07 PM,20/08/2019 12:51:07 PM,1,830,831,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utrky
166,251,163,UTFRT,UTFRT,3,CSI,1,NULL,4,NULL,1,NULL,40.20525,-110.77125,-110771250,40205250,5,23/09/2019 08:31:03 AM,23/09/2019 08:31:03 AM,1,832,833,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utfrt
167,252,164,UTCOP,UTCOP,3,CSI,1,NULL,4,166.154.68.82,1,NULL,40.2418,-111.1771,-111177100,40241800,5,16/10/2019 01:23:32 PM,16/10/2019 01:23:32 PM,NULL,834,835,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=UTCOP
168,253,165,UTMPO,UTMPO,3,CSI,1,NULL,4,166.241.189.4,1,NULL,37.873,-109.3061,-109306100,37873000,5,19/11/2019 10:10:06 AM,19/11/2019 10:10:06 AM,NULL,836,837,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utmpo
169,254,166,UTPOR,UTPOR,3,CSI,1,NULL,4,166.253.125.136,1,NULL,41.9675,-112.1808,-112180800,41967500,5,13/04/2020 09:30:26 AM,13/04/2020 09:30:26 AM,1,838,839,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utpor
170,255,168,UTASH,UTASH,3,CSI,1,NULL,4,166.161.134.156,1,NULL,40.41635,-109.58215,-109582150,40416350,5,03/06/2020 11:32:46 AM,03/06/2020 11:32:46 AM,1,842,843,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utash
171,256,167,UTMYT,UTMYT,3,CSI,1,NULL,4,63.42.149.121,1,NULL,40.19943,-110.06792,-110067920,40199430,5,03/06/2020 11:32:46 AM,03/06/2020 11:32:46 AM,1,840,841,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utmyt
172,257,169,UTWPO,UTWPO,3,CSI,1,NULL,4,166.241.179.172,1,NULL,40.64125,-109.4859,-109485900,40641250,5,05/06/2020 02:05:20 PM,05/06/2020 02:05:20 PM,NULL,844,845,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utwpo
173,258,170,UTBAS,UTBAS,3,CSI,1,NULL,4,166.253.205.19,1,NULL,40.724,-109.4688,-109468800,40724000,5,05/06/2020 02:08:58 PM,05/06/2020 02:08:58 PM,NULL,846,847,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utbas
174,259,171,UTWIS,UTWIS,3,CSI,1,NULL,4,166.253.205.20,1,NULL,40.8539,-109.46205,-109462050,40853900,5,05/06/2020 02:11:53 PM,05/06/2020 02:11:53 PM,NULL,848,849,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utwis
175,260,172,UTMOP,UTMOP,3,CSI,1,NULL,4,166.154.68.94,1,NULL,40.84185,-109.64705,-109647050,40841850,5,05/06/2020 02:15:03 PM,05/06/2020 02:15:03 PM,NULL,850,851,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utmop
176,261,173,UT43W,UT43W,3,CSI,1,NULL,4,63.42.149.120,1,NULL,40.9918,-109.8445,-109844500,40991800,5,05/06/2020 02:17:42 PM,05/06/2020 02:17:42 PM,NULL,852,853,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=ut43w
177,262,174,UTHFT,UTHFT,3,CSI,1,NULL,2,10.132.5.100,2,NULL,37.62836,-113.12063,-113120630,37628360,5,18/06/2020 05:01:41 PM,18/06/2020 05:01:42 PM,NULL,856,857,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uthft
179,264,175,UTNCC,UTNCC,3,CSI,1,NULL,2,10.132.8.28,2,NULL,37.7275,-113.0511,-113051100,37727500,5,18/06/2020 05:06:34 PM,18/06/2020 05:06:34 PM,NULL,858,859,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utncc
180,265,176,UTWBR,UTWBR,3,CSI,1,NULL,4,166.241.179.176,1,NULL,41.3906,-112.0343,-112034300,41390600,5,02/07/2020 11:50:27 AM,02/07/2020 11:50:27 AM,NULL,854,855,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utwbr
181,266,177,UTRMD,UTRMD,3,CSI,1,NULL,4,166.253.205.21,1,NULL,41.909,-111.8145,-111814500,41909000,5,09/07/2020 08:33:46 AM,09/07/2020 08:33:46 AM,NULL,860,861,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utrmd
182,267,178,UTTP1,UTTP1,3,CSI,1,NULL,4,63.42.58.80,1,NULL,41.13255,-111.9103,-111910300,41132550,5,17/07/2020 01:21:38 PM,17/07/2020 01:21:38 PM,NULL,862,863,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttp1
183,268,179,UTLTS,UTLTS,3,CSI,1,NULL,4,166.241.154.121,1,NULL,41.80802,-111.25174,-111251740,41808020,5,27/07/2020 10:20:26 AM,27/07/2020 10:20:26 AM,NULL,864,865,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utlts
184,269,180,UTTOL,UTTOL,3,CSI,1,NULL,4,63.42.106.11,1,NULL,40.7749,-111.4678,-111467800,40774900,5,07/10/2020 02:21:15 PM,07/10/2020 02:21:15 PM,NULL,866,867,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttol
185,270,181,UTLSD,UTLSD,3,CSI,1,NULL,4,166.140.123.18,1,NULL,38.3426,-109.20875,-109208750,38342600,5,07/10/2020 02:24:55 PM,07/10/2020 02:24:55 PM,1,868,869,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utlsd
189,272,182,UTMON,UTMON,3,CSI,1,NULL,4,166.164.75.84,1,NULL,41.4446,-111.5056,-111505600,41444600,5,23/10/2020 04:38:31 PM,23/10/2020 04:38:31 PM,NULL,872,873,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utmon
191,271,183,UTTAY,UTTAY,3,CSI,1,,2,10.208.12.40,2,,40.6768,-111.9528,-111952800,40676800,5,26/10/2020 03:06:58 PM,26/10/2020 03:06:58 PM,1,876,877,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttay
192,273,184,UTMVY,UTMVY,3,CSI,1,NULL,2,10.205.201.156,2,NULL,37.0043,-110.1734,-110173400,37004300,5,30/10/2020 02:16:24 PM,30/10/2020 02:16:24 PM,NULL,878,879,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utmvy
193,274,185,UT9,UT9,3,CSI,1,,2,10.218.5.144,2,,40.6929,-112.2636,-112263600,40692900,5,13/11/2020 12:53:42 PM,13/11/2020 12:53:42 PM,1,880,881,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=ut9
194,275,186,UTTP4,UTTP4,3,CSI,1,,4,166.154.68.104,1,,40.7141,-111.54505,-111545050,40714100,5,24/11/2020 04:28:52 PM,24/11/2020 04:28:52 PM,0,882,883,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttp4
197,277,187,UTTLE,UTTLE,3,CSI,1,,4,166.154.68.91,1,,40.56585,-112.2962,-112296200,40565850,5,12/04/2021 02:46:52 PM,12/04/2021 02:46:52 PM,0,887,888,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttle
198,278,188,UTKNO,UTKNO,3,CSI,1,,4,166.148.97.114,1,,40.7269,-113.2803,-113280300,40726900,5,06/05/2021 04:47:20 PM,06/05/2021 04:47:20 PM,0,889,890,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utkno
199,279,189,UTSPX,UTSPX,3,CSI,1,,4,166.161.187.10,1,,39.0182,-110.2904,-110290400,39018200,5,19/05/2021 01:20:07 PM,19/05/2021 01:20:07 PM,0,891,892,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utspx
200,280,190,UTTAG,UTTAG,3,CSI,1,,2,10.236.5.40,2,,41.0531,-111.5987,-111598700,41053100,5,03/06/2021 04:09:47 PM,03/06/2021 04:09:47 PM,0,893,894,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttag
201,281,191,UTTAG,UTTAG,3,CSI,1,,2,10.236.5.40,2,,41.0534,-111.599,-111599000,41053400,5,03/06/2021 04:40:32 PM,03/06/2021 04:40:32 PM,0,895,896,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttag
202,282,192,UTDVG,UTDVG,3,CSI,1,,2,10.232.8.168,2,,41.1397,-111.8539,-111853900,41139700,5,04/06/2021 05:01:50 PM,04/06/2021 05:01:50 PM,1,897,898,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utdvg
203,283,193,UTMV2,UTMV2,3,CSI,1,,2,10.217.7.144,2,,40.7247,-112.0288,-112028800,40724700,5,22/06/2021 03:38:06 PM,22/06/2021 03:38:06 PM,0,899,900,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utmv2
204,284,194,UTMV2,UTMV2,3,CSI,1,,2,10.217.7.144,2,,40.7256,-112.0275,-112027500,40725600,5,22/06/2021 03:55:48 PM,22/06/2021 03:55:48 PM,0,901,902,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utmv2
205,285,195,UTTP4,UTTP4`,3,CSI,1,,4,166.154.68.104,1,,39.75715,-110.91698,-110916980,39757150,5,01/07/2021 04:32:35 PM,01/07/2021 04:32:35 PM,0,903,NULL,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttp4
206,286,196,UTACR,UTACR,3,CSI,1,,2,10.149.6.216,1,,37.4116,-113.2348,-113234800,37411600,5,01/07/2021 04:42:48 PM,01/07/2021 04:42:48 PM,0,904,905,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utacr
207,287,197,UTBRO,UTBRO,3,CSI,1,,4,165.239.103.3,1,,37.3087,-113.2969,-113296900,37308700,5,01/07/2021 04:50:20 PM,03/09/2021 02:29:28 PM,1,906,907,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utbro
208,288,198,UTBRO,UTBRO,3,CSI,1,,4,165.239.103.3,1,,37.309,-113.2971,-113297100,37309000,5,01/07/2021 05:14:39 PM,01/07/2021 05:14:39 PM,1,908,909,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utbro
209,289,199,UTANT,UTANT,3,CSI,1,,4,165.239.103.4,2,,41.09,-111.9906,-111990600,41090000,5,15/09/2021 09:12:28 AM,15/09/2021 09:12:28 AM,1,910,911,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utant
210,290,200,UTAFC,UTAFC,3,CSI,1,,2,10.172.5.156,2,,40.45094,-111.6679,-111667900,40450900,5,23/09/2021 12:07:06 PM,23/09/2021 12:07:06 PM,1,912,913,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utafc
211,291,201,UT112,UT112,3,CSI,1,,4,165.239.103.9,2,,40.5483,-112.3416,-112341600,40548300,5,01/10/2021 01:59:45 PM,01/10/2021 01:59:45 PM,1,914,915,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=ut12
212,292,202,UT107,UT107,3,CSI,1,,4,165.239.103.8,1,,40.7701,-112.1508,-112150800,40770100,5,22/10/2021 02:44:29 PM,22/10/2021 02:44:29 PM,1,916,917,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=ut107
213,293,203,UTSTO,UTSTO,3,CSI,1,,4,165.239.103.10,1,,40.4689,-112.352,-112352000,40468900,5,02/12/2021 09:04:02 AM,02/12/2021 09:04:02 AM,1,918,919,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utsto
